#{"length":200,"ensemble_size":5000,"signature":"sq_lattice_bond_percolation__periodic_","delimiter":"	"}
#data at critical occupation probability or pc
#<pc><sites in wrapping cluster><bonds in wrapping cluster>
0.501413	22365	25074
0.4922	18852	20950
0.495887	22355	24908
0.49625	22349	24956
0.493963	22927	25647
0.491638	18421	20503
0.497812	24612	27532
0.4931	24686	27555
0.491387	17848	19857
0.495212	22773	25420
0.492225	15245	17077
0.493887	11979	13290
0.507888	29507	33324
0.49915	24164	27031
0.489625	20739	23124
0.502888	26427	29617
0.49595	16573	18643
0.4911	16107	17981
0.503838	29353	32983
0.495462	22130	24785
0.49225	13882	15440
0.49315	12036	13412
0.49325	22432	25032
0.495625	23400	26083
0.4965	17524	19604
0.494787	21178	23668
0.498688	18653	20967
0.50085	22487	25185
0.483463	9104	10083
0.505513	26310	29713
0.494663	26256	29188
0.4972	26061	29083
0.505587	22749	25622
0.497937	22572	25324
0.491463	20860	23329
0.490325	17112	18940
0.485475	9662	10737
0.500988	22103	24867
0.5119	28269	32002
0.494262	17922	19994
0.503425	26165	29397
0.482013	10896	12092
0.499387	24079	27009
0.493862	23972	26765
0.489425	7645	8527
0.49985	25297	28341
0.486575	22449	24943
0.498675	24969	27977
0.503413	23998	27009
0.501825	28087	31515
0.500838	23485	26317
0.5035	25335	28517
0.48645	12247	13585
0.495725	22890	25541
0.492775	15455	17237
0.5042	27069	30443
0.500025	18381	20606
0.491063	15660	17460
0.49445	24189	27029
0.500038	21882	24620
0.491312	19531	21772
0.501475	23814	26725
0.491887	18363	20432
0.489775	17897	19919
0.495975	19540	21818
0.493862	20050	22337
0.5096	28448	32138
0.509212	26674	30106
0.48675	10020	11136
0.497588	23709	26573
0.49475	19258	21566
0.489063	13125	14621
0.495875	20871	23277
0.492575	21235	23680
0.4925	19228	21438
0.492387	19358	21650
0.490237	19350	21575
0.494775	21351	23857
0.514088	29862	33828
0.492175	22641	25196
0.496575	21865	24475
0.49095	18515	20637
0.487262	10739	11894
0.491113	22602	25112
0.50375	25693	28889
0.4936	21161	23662
0.50025	19464	21839
0.498812	20545	23040
0.501525	22409	25179
0.496837	19351	21651
0.493225	20709	23090
0.487187	11026	12209
0.49745	27433	30617
0.504437	26302	29576
0.493225	19072	21283
0.492225	13380	14942
0.500563	26865	30080
0.493225	14894	16602
0.501012	20955	23525
0.481137	8799	9784
0.49725	20702	23232
0.485825	13922	15396
0.495737	19811	22125
0.51115	28883	32661
0.5037	22717	25534
0.487113	6737	7487
0.5048	16203	18261
0.495038	22541	25066
0.494013	17962	20129
0.4921	19872	22168
0.500337	24535	27556
0.495337	17730	19838
0.4951	26133	29166
0.492675	24752	27606
0.493175	19813	22204
0.495475	21172	23706
0.48905	15638	17396
0.493787	21975	24476
0.499362	26818	29993
0.494712	11955	13373
0.499625	26063	29285
0.488275	8161	9087
0.4911	13517	15000
